id	gene_short_name	num_cells_expressed
LOC117693020	uncharacterized LOC117693020_ncRNA	1
LOC109621113	uncharacterized LOC109621113	3
LOC117687066	uncharacterized LOC117687066	0
LOC117689737	uncharacterized LOC117689737	2
LOC117687025	uncharacterized LOC117687025	2
LOC105333279	uncharacterized LOC105333279	4
LOC105321471	uncharacterized LOC105321471	1
LOC105321472	uncharacterized LOC105321472	63
LOC117687070	uncharacterized LOC117687070	1
LOC117689460	uncharacterized LOC117689460_ncRNA	3
LOC105344774	uncharacterized LOC105344774	3
LOC105326952	uncharacterized LOC105326952_ncRNA	0
LOC117690921	uncharacterized LOC117690921_ncRNA	3
LOC117690907	uncharacterized LOC117690907_ncRNA	0
LOC117687074	uncharacterized LOC117687074	6
LOC117682936	uncharacterized LOC117682936	19
LOC105336148	uncharacterized LOC105336148	179
LOC105346550	elongator complex protein 5	2196
LOC105321192	uncharacterized LOC105321192	4
LOC117684466	uncharacterized LOC117684466_ncRNA	7
LOC117684471	uncharacterized LOC117684471	80
LOC117684472	uncharacterized LOC117684472	0
LOC105333180	uncharacterized LOC105333180	327
LOC105321195	uncharacterized LOC105321195	262
LOC105321194	glycerol-3-phosphate dehydrogenase [NAD(+)], cytoplasmic	2473
LOC105321205	2-oxoglutarate-dependent dioxygenase citB	0
LOC105321193	tax1-binding protein 1 homolog	7775
LOC105321197	prefoldin subunit 5-like	15528
LOC105321199	serine/threonine-protein kinase greatwall-like	1513
LOC105321198	catenin delta-2	10901
LOC105321201	uncharacterized LOC105321201	12
LOC105321202	uncharacterized LOC105321202	10
LOC105321203	fibrillin-1	58
LOC105328747	solute carrier family 23 member 2	776
LOC105328746	uncharacterized LOC105328746	4624
LOC105328744	PHD finger protein 20-like protein 1	3479
LOC105328743	poly(U)-specific endoribonuclease	2430
LOC105328742	uncharacterized LOC105328742	714
LOC105328741	mediator of RNA polymerase II transcription subunit 18	2468
LOC109619976	A disintegrin and metalloproteinase with thrombospondin motifs 7	2525
LOC105337994	uncharacterized LOC105337994	140
LOC105328736	uncharacterized LOC105328736_ncRNA	2058
LOC105338004	sushi, von Willebrand factor type A, EGF and pentraxin domain-containing protein 1	3
LOC117684582	putative nuclease HARBI1	1
LOC117684581	myb-related transcription factor, partner of profilin-like	8
LOC117684579	sushi, von Willebrand factor type A, EGF and pentraxin domain-containing protein 1-like	4
LOC117684584	uncharacterized LOC117684584	17
LOC105333579	uncharacterized LOC105333579	3
LOC109620526	microfibril-associated glycoprotein 4	3
LOC117684587	uncharacterized LOC117684587	0
LOC105342798	uncharacterized LOC105342798	2
LOC105320538	uncharacterized LOC105320538	30
LOC105320528	membrane-bound O-acyltransferase domain-containing protein 2-like	2359
LOC105320530	putative homeodomain transcription factor 2	6170
LOC105320526	uncharacterized LOC105320526	188
LOC105328197	uncharacterized LOC105328197	1
LOC109618754	uncharacterized LOC109618754	3
LOC117684695	uncharacterized LOC117684695	0
LOC105318169	metal cation symporter ZIP14	4199
Trnas-aga		0
Trnas-aga_1		0
Trnas-aga_2		0
LOC105318171	PDZ and LIM domain protein 1	636
LOC105318173	beta-mannosidase	129
