gene_id	cell_group	Gene.Ontology.IDs
LOC105329534	10	GO:0000209; GO:0004842; GO:0005737; GO:0008270; GO:0017022; GO:0043161; GO:0043523; GO:0061630; GO:1990830
LOC105337374	11	
LOC105331844	6	GO:0000166; GO:0003677; GO:0003887; GO:0006260; GO:0006281; GO:0008270; GO:0008622; GO:0051539
LOC105317489	9	GO:0005887; GO:0007049; GO:0051301
LOC105325141	9	GO:0000977; GO:0001139; GO:0005634; GO:0006351; GO:0006362; GO:0006368; GO:0031440; GO:0031564; GO:0046872
LOC105334990	11	NA
LOC105334984	11	
LOC105327784	9	GO:0004930; GO:0005886; GO:0016021
LOC105322769	2	GO:0005886; GO:0005918; GO:0007156; GO:0007411; GO:0008366; GO:0019991; GO:0021682; GO:0030424; GO:0031225; GO:0045197; GO:0060857; GO:0061343; GO:0070593; GO:0098632
LOC105325951	6	GO:0001568; GO:0001649; GO:0001707; GO:0001893; GO:0001935; GO:0001938; GO:0001946; GO:0001974; GO:0002063; GO:0003085; GO:0003148; GO:0003151; GO:0003176; GO:0003177; GO:0003183; GO:0003186; GO:0003197; GO:0003252; GO:0004674; GO:0005024; GO:0005524; GO:0005654; GO:0005737; GO:0005886; GO:0005887; GO:0005901; GO:0005905; GO:0005912; GO:0006468; GO:0007178; GO:0009267; GO:0009925; GO:0009952; GO:0009986; GO:0010595; GO:0010634; GO:0010862; GO:0014069; GO:0014916; GO:0016324; GO:0019211; GO:0019838; GO:0030166; GO:0030308; GO:0030424; GO:0030425; GO:0030501; GO:0030509; GO:0030513; GO:0030546; GO:0036122; GO:0042127; GO:0043025; GO:0043235; GO:0043539; GO:0044297; GO:0045296; GO:0045669; GO:0045778; GO:0045906; GO:0045944; GO:0046872; GO:0048286; GO:0048662; GO:0048842; GO:0051148; GO:0060173; GO:0060350; GO:0060391; GO:0060412; GO:0060413; GO:0060836; GO:0060840; GO:0060841; GO:0061036; GO:0061298; GO:0061626; GO:0071363; GO:0071773; GO:0072577; GO:0098821; GO:1902731; GO:1905314; GO:1990782; GO:2000279
LOC105325948	3	GO:0005261; GO:0005886; GO:0005887; GO:0015280; GO:0035725; GO:0046872; GO:0047631; GO:0070588; GO:0098655; GO:0099604
LOC105332280	7	GO:0005886; GO:0009897; GO:0030431; GO:0031225; GO:0032222; GO:0034235; GO:0045187; GO:0045837; GO:0045938; GO:0048511; GO:1903049; GO:1903818
LOC105318289	11	GO:0000922; GO:0005737; GO:0005813; GO:0005819; GO:0005874; GO:0032467; GO:0034451; GO:0051781
LOC105346986	5	GO:0003779; GO:0005861; GO:0046872
LOC105347950	6	GO:0005524; GO:0006412; GO:0050566; GO:0050567
LOC105339970	10	GO:0005886; GO:0016021; GO:0045263; GO:0046933
LOC105339977	10	GO:0001889; GO:0004714; GO:0005008; GO:0005524; GO:0005887; GO:0006909; GO:0007169; GO:0007399; GO:0009925; GO:0016477; GO:0017154; GO:0030182; GO:0031016; GO:0033674; GO:0043235; GO:0050918; GO:0051897; GO:0071526; GO:2001028
LOC105332609	10	NA
